initiative_id,company_canonical,collab_type_short,ESG_block_norm,theme_tag,cluster_id,initiative_title,evidence_quote_15w
CN027-I006,Foxconn Industrial Internet,BN,G,risk_management,3,Risk Management initiative (BN),"To achieve “responsible operation and sustainable development”, our vision is built upon three key pillars:"
CN028-I003,GCL,BN,E,biodiversity_ecosystems,8,"we made donations worth tens of thousands of yuan to biodiversity-themed campaigns,","In 2024, we made donations worth tens of thousands of yuan to biodiversity-themed campaigns, including"
CN028-I004,GCL,BS,S,training_education,2,50 employees graduated from a joint education program with China University of,"In 2024, 50 employees graduated from a joint education program with China University of Petroleum;"
CN030-I001,GEM Co.,BN,E,emissions_reduction,12,Emissions Reduction initiative (BN),07 08 Annual ESG Highlights Category Chapter Annual Highlights Relevant SDGs Independent directors and female
CN030-I002,GEM Co.,BN,X,innovation_green_tech,12,Strengthening the Business Foundation and Opening up Channels for Growth,Strengthening the Business Foundation and Opening up Channels for Growth: GEM Holds the 2023 Full-
CN030-I004,GEM Co.,BG,S,training_education,12,Graduation Ceremony of GEM’s 2024 Elite Training Program 2024 Elite Training Program,Graduation Ceremony of GEM’s 2024 Elite Training Program 2024 Elite Training Program Opening Ceremony of
CN031-I001,Glodon,BG,X,innovation_green_tech,11,"2021 Collaborated with industry, academia, and research institutions to lead the Ministry","2021 Collaborated with industry, academia, and research institutions to lead the Ministry of Science and"
CN032-I001,Gree,BG,E,renewable_energy,0,Renewable Energy initiative (BG),"China Unicom 5G base stations, photovoltaics, energy storage applications Jointly built up China’s first end-to-end"
CN032-I002,Gree,BG,E,renewable_energy,0,Renewable Energy initiative (BG),Gree Electric Co-hosts Technical Exchange Conference within the Industry Gree Electric Participates in the SNEC
CN032-I004,Gree,BS,X,innovation_green_tech,0,Innovation Green Tech initiative (BS),Class of Special Courses Key Universities and Enterprises Exchange Meeting University Student Innovation Practice Camp
CN032-I005,Gree,BG,X,innovation_green_tech,2,Innovation Green Tech initiative (BG),"Additionally, in response to the Implementation Plan for Promoting Employee Mental Health Services by the"
CN034-I001,Haier,BN,X,innovation_green_tech,11,Innovation Green Tech initiative (BN),"• Cash for Kids Mission Christmas: For the third year in 2024, Haier UK supported"
CN038-I003,Hisense,BN,G,compliance_anti_corruption,12,Compliance Anti Corruption initiative (BN),◦Emphasized the significance of manufacturing ◦Expanded B2B operations overseas ◦Introduced China's inaugural fully self-developed 8K
CN038-I004,Hisense,BN,S,training_education,12,Training Education initiative (BN),Talent Training System Three-year systematic training programme for new employees Operator （Business Leader） Manager （Function
CN038-I006,Hisense,BN,S,training_education,2,Training Education initiative (BN),East-West Collaboration Marine Culture Exchange Camp Program Successfully Held CASE Hisense School Empowers Education Development
CN038-I007,Hisense,BS,S,training_education,0,Training Education initiative (BS),"In September 2023, Hisense established the HVAC Academy at Tashkent International University in Uzbekistan, relying"
CN041-I001,iFlyTEK,BS,X,innovation_green_tech,0,Innovation Green Tech initiative (BS),"In April 2024, Xunfei Healthcare, West China Hospital affiliated to Sichuan University, and Huawei entered"
CN041-I002,iFlyTEK,BS,X,innovation_green_tech,8,Innovation Green Tech initiative (BS),"The Company worked with Sunshine Insurance, Tsinghua University's PBC School of Finance, the Insurance Society"
CN041-I004,iFlyTEK,BG,S,training_education,9,A series of pilot smart homework projects have been implemented in Xiaoshan,A series of pilot smart homework projects have been implemented in Xiaoshan District and Zhuji
CN042-I001,Inovance,BN,E,emissions_reduction,12,Emissions Reduction initiative (BN),Board of Directors Executive Management Team (EMT) Sustainability Oﬃce Sustainability Committee •Continuously improve the corporate
CN042-I002,Inovance,BN,E,emissions_reduction,1,Emissions Reduction initiative (BN),Corporate governance Lean innovation Responsibility ecology Low carbon pioneer The Six Dimensions of ESG Strategy
CN042-I003,Inovance,BN,S,employee_health_safety,7,Employee Health Safety initiative (BN),"“Floral Charm, Skillful Hands” Women’s Day floral workshop Employee Group Beneﬁts and Care Measures Progress"
CN044-I001,Jinko Solar,BS,E,emissions_reduction,12,Emissions Reduction initiative (BS),"2024 Environmental, Social and Governance (ESG) Report Governance and Economic Performance Environmental Performance Social Performance"
CN044-I003,Jinko Solar,BN,S,labor_rights,13,Labor Rights initiative (BN),"During the reporting period, based on local laws, the UN Guiding Principles on Business and"
CN044-I004,Jinko Solar,BG,G,stakeholder_engagement,5,Stakeholder Engagement initiative (BG),"During the reporting period, in accordance with the requirements of the international disclosure standards, the"
CN045-I002,Kweichow Moutai Co,BG,E,climate_risk_strategy,5,Climate Risk Strategy initiative (BG),14 of the Shanghai Stock Exchange for Self-Regulation of Listed Companies - Sustainability Report (Trial)
CN046-I001,Lenovo,BN,E,water_management,6,Lenovo joined the UN Global Compact Forward Faster initiative to accelerate private,"In September 2023, Lenovo joined the UN Global Compact Forward Faster initiative to accelerate private"
CN046-I002,Lenovo,BN,E,water_management,3,Water Management initiative (BN),The Company has: • Implemented and maintains a corporate Water Resiliency Policy; • Endorsed the
CN049-I002,LUXSHAREICT,BG,E,emissions_reduction,10,Emissions Reduction initiative (BG),Conduct at least one annual discussion on climate change related issues to develop plans and
CN050-I001,Meituan,BN,X,innovation_green_tech,9,Innovation Green Tech initiative (BN),"In June 2024 As of August 1, 2024 Special Feature The Daishubaobei Child-friendly Space ·"
CN050-I002,Meituan,BS,S,training_education,2,39 individuals Merchant volunteers of the Meituan Green Mountain Public Welfare Nature,39 individuals Merchant volunteers of the Meituan Green Mountain Public Welfare Nature Conservation Campaign replanting
CN050-I003,Meituan,BN,S,training_education,11,"From September 27 to 29, 2024, Meituan Charity, in partnership with One","From September 27 to 29, 2024, Meituan Charity, in partnership with One Foundation, organized the"
CN051-I003,Mengniu Dairy,BN,S,training_education,2,"Nutrition and Health Education Public Welfare In 2024, Mengniu, in collaboration with","Nutrition and Health Education Public Welfare In 2024, Mengniu, in collaboration with COFCO Nutrition and"
CN051-I004,Mengniu Dairy,BN,X,partnerships_general,2,Partnerships General initiative (BN),"In March 2024, Mengniu's brand Shiny Meadow's sub-brand ""Xiaoxianyu"" together with the Beijing TA Foundation"
CN053-I004,Nanjing Steel,BG,S,diversity_inclusion,13,"By the end of 2024, we have established three four-star and one","By the end of 2024, we have established three four-star and one five-star ""Loving Maternal"
CN054-I001,PICC,BG,X,innovation_green_tech,8,Innovation Green Tech initiative (BG),"We steadily promoted the expansion of agricultural insurance, enriched the products and improved the standards,"
CN055-I001,PING AN,BS,G,stakeholder_engagement,2,Deloitte Touche Tohmatsu Certified Public Accountants (LLP) has carried out an independent,Deloitte Touche Tohmatsu Certified Public Accountants (LLP) has carried out an independent third-party assurance on
CN055-I003,PING AN,BN,X,partnerships_general,11,"the China Youth Development Foundation, the Hunan Youth Development Foundation and Ping","In October 2024, the China Youth Development Foundation, the Hunan Youth Development Foundation and Ping"
CN055-I004,PING AN,BN,X,partnerships_general,13,Partnerships General initiative (BN),"The qualified teams not only have the opportunity to receive the Inspiration Program scholarships, but"
CN055-I005,PING AN,BN,X,innovation_green_tech,8,Innovation Green Tech initiative (BN),"35 trainees participated, including relevant leaders of Ping An, Huazhong Agricultural University, and China Foundation"
CN055-I006,PING AN,BN,X,partnerships_general,11,Ping An Annuity Actively Promotes the Establishment of Rehabilitation and Healthcare Hubs,"Ping An Annuity Actively Promotes the Establishment of Rehabilitation and Healthcare Hubs In 2024, Ping"
CN056-I004,Power Construction Corporation of China,BS,S,community_development,2,SINOHYDRO Bureau 6 organized free medical consultations in rural communities of Equatorial,SINOHYDRO Bureau 6 organized free medical consultations in rural communities of Equatorial Guinea POWERCHINA International
CN057-I002,Sany,BN,S,community_development,9,Community Development initiative (BN),"Enhancing Infrastructure and Living Environment for a More Comfortable and Livable Village Life In 2024,"
CN058-I001,SF Holding,BG,E,emissions_reduction,6,SF Aviation successfully passed the annual carbon emission verification of the Civil,"In 2024, SF Aviation successfully passed the annual carbon emission verification of the Civil Aviation"
CN058-I002,SF Holding,BN,X,partnerships_general,11,Partnerships General initiative (BN),"In 2024, the SF Foundation launched in-depth cooperation with the Shanshui Nature Conservation Center to"
CN058-I003,SF Holding,BN,E,emissions_reduction,6,Emissions Reduction initiative (BN),Comprehensive Pilot Project of Wildlife Protection and Ecological Development in Southeast Xizang SF Forest Project
CN059-I003,Shenzhen International Holding Limited,BG,S,training_education,13,Training Education initiative (BG),Compliant Operation Case: Shenzhen International Holds Special Training on SASAC's Trade Management Policies and Supply
CN059-I004,Shenzhen International Holding Limited,BG,S,training_education,12,Shenzhen International Invited External Experts to Hold Risk Training on Supply Chain,Shenzhen International Invited External Experts to Hold Risk Training on Supply Chain Businesses Proposed 8
CN059-I005,Shenzhen International Holding Limited,BN,G,supply_chain_governance,12,Supply Chain Governance initiative (BN),"Process audits for major projects: In 2024, we conducted process audits for 17 major projects"
CN061-I003,Sunny Optical Technology,BS,G,transparency_reporting,9,"through cooperation with Yuyao College of the Open University of Ningbo, the","During the Reporting Period, through cooperation with Yuyao College of the Open University of Ningbo,"
CN062-I003,Sunwoda,BN,E,emissions_reduction,10,Initiative Participation Global Advocacy Standards Developmet 1 2024 9item item The 29th,Initiative Participation Global Advocacy Standards Developmet 1 2024 9item item The 29th United Nations Climate
CN062-I005,Sunwoda,BN,X,partnerships_general,11,Sunwoda Voice Program - Narrative Medicine Capability Enhancement,"In November 2024, the Sunwoda Foundation, in collaboration with the People's Hospital of Shiyan, launched"
CN063-I002,Taishin Holding,BS,S,diversity_inclusion,7,Diversity Inclusion initiative (BS),Realizing ﬁnancial inclusion and facilitating the access of disadvantaged groups to ﬁnancial services • Taishin
CN064-I002,TCL Technology Group,BN,S,community_development,9,"TCL Charity Foundation Launched the ""Love Donation"" Campaign TCL Rose Action ·","TCL Charity Foundation Launched the ""Love Donation"" Campaign TCL Rose Action · Employee Public Welfare"
CN064-I004,TCL Technology Group,BN,E,renewable_energy,9,Renewable Energy initiative (BN),"TCL Charity Foundation Facilitates Photovoltaic Development in Checun Village, Taimai Town TCL Charity Foundation Supported"
CN064-I005,TCL Technology Group,BN,X,innovation_green_tech,9,Innovation Green Tech initiative (BN),"Case: ""TCL Smart Classroom"" Enabled Interdisciplinary Integrated Lessons In December 2024, the TCL Charity Foundation"
CN065-I002,Tencent,BN,S,customer_privacy_security,11,we collaborated with One Foundation to organise cybersecurity awareness campaigns in 15,"In 2024, we collaborated with One Foundation to organise cybersecurity awareness campaigns in 15 provinces"
CN065-I003,Tencent,BG,X,innovation_green_tech,8,we launched the Cultivator Programme in collaboration with the Ministry of Agriculture,"In 2021, we launched the Cultivator Programme in collaboration with the Ministry of Agriculture and"
CN065-I004,Tencent,BN,E,water_management,2,Many scientists supported by the New Cornerstone Science Foundation align their research,"Many scientists supported by the New Cornerstone Science Foundation align their research with the SDGs,"
CN066-I002,TPV,BG,E,renewable_energy,10,Renewable Energy initiative (BG),"Strategy To identify and evaluate the impacts of climate-related risks and opportunities on the Company,"
CN067-I002,Vanke,BS,E,emissions_reduction,12,"Topic of the Year In September 2022, the Meisha Carbon Neutral Community","Topic of the Year In September 2022, the Meisha Carbon Neutral Community initiated a rooftop"
CN067-I004,Vanke,BN,G,stakeholder_engagement,6,the “Mount Everest Snow Leopard Protection Plan” (2023–2027) strategic plan was developed,"In 2023, the “Mount Everest Snow Leopard Protection Plan” (2023–2027) strategic plan was developed by"
CN067-I005,Vanke,BN,X,partnerships_general,11,Welcome Ceremony for the Event • Roundtable on Green Development of World,Welcome Ceremony for the Event • Roundtable on Green Development of World Heritage Sites: On
CN069-I001,XCMG,BN,E,water_management,3,Water Management initiative (BN),"2024 Environmental, Social and Governance (ESG) Report 105 106 In 2024, XCMG Machinery, in collaboration"
CN069-I002,XCMG,BN,E,water_management,12,"To date, XCMG Machinery and the China Foundation for Rural Development have","To date, XCMG Machinery and the China Foundation for Rural Development have successfully established a"
CN070-I002,Xiaomi,BN,E,emissions_reduction,12,It is a water stewardship certification body established by the UN Global,"It is a water stewardship certification body established by the UN Global Compact (UNGC), the"
CN070-I004,Xiaomi,BN,X,innovation_green_tech,11,Innovation Green Tech initiative (BN),"The Xiaomi Fundraising Platform for Charities, in collaboration with the Mangrove Conservation Foundation (MCF), launched"
CN070-I005,Xiaomi,BN,S,labor_rights,13,Based on the RBA Code of Conduct and the Joint Audit Cooperation,Based on the RBA Code of Conduct and the Joint Audit Cooperation (JAC) Supply Chain
CN070-I006,Xiaomi,BN,G,board_structure,3,Board Structure initiative (BN),"We established the Xiaomi Corporation Technology Committee, which oversees the development of the Leadership of"
CN071-I004,Zhejiang Huayou Cobalt,BN,X,innovation_green_tech,1,Innovation Green Tech initiative (BN),"2024 Sustainability Report Sustainability Management Building Foundations Together with Partners Innovation Leads, Prosperity with Friends"
CN071-I005,Zhejiang Huayou Cobalt,BN,G,risk_management,1,Risk Management initiative (BN),36 37 About This Report 2024 Sustainability Report HUAYOU COBALT Building Foundations Together with Partners
CN071-I006,Zhejiang Huayou Cobalt,BN,X,SDG_alignment,3,Supported UN Sustainable Development Goals (SDGs): 01 Governance,Supported UN Sustainable Development Goals (SDGs): 01 Governance
CN071-I007,Zhejiang Huayou Cobalt,BN,X,innovation_green_tech,1,Innovation Green Tech initiative (BN),"Building Foundations Together with Partners Sustainability Management 2024 Sustainability Report HUAYOU COBALT Innovation Leads, Prosperity"
CN071-I008,Zhejiang Huayou Cobalt,BN,S,training_education,1,Training Education initiative (BN),"46 Building Foundations Together with Partners Sustainability Management 2024 Sustainability Report HUAYOU COBALT Innovation Leads,"
CN072-I001,Zijin,BN,E,water_management,3,Water Management initiative (BN),6XVWDLQDEOH'HYHORSPHQW+LVWRU\RI=LMLQ0LQLQJ PDUNHGWKHEHJLQQLQJRIDQHZFKDSWHUIRU=LMLQ0LQLQJDVZHHPEDUNHGRQWKHMRXUQH\EH\RQGRXUWKDQQLYHUVDU\$FKLHYLQJVKDUHGVXVWDLQDEOH development remains our enduring mission: Reorganised from Shanghang County Mining Company to Shanghang
CN073-I001,ZTE,BN,S,diversity_inclusion,13,Diversity Inclusion initiative (BN),"Furthermore, ZTE conducted onsite CSR audits of 261 suppliers and arranged for 121 supplier representatives"
CN073-I002,ZTE,BN,S,training_education,13,Training Education initiative (BN),"◼ From June to October 2024, members of the Sustainability Work Team participated in multiple"
CN073-I004,ZTE,BG,X,partnerships_general,0,"− On September 6, during the Beijing Summit of the Forum on","− On September 6, during the Beijing Summit of the Forum on China-Africa Cooperation, the"
