initiative_id,report_id,company_canonical,company_name_fixed,industry_sector,ownership_type,year_of_report,ESG_block_norm,theme_tag,collab_type_short,collaboration_model,driver_primary,initiative_title,initiative_title_source,initiative_description,outputs_or_outcomes,KPI_present,KPI_list,geography,actors_involved,evidence_file_name,page_primary,evidence_page_numbers,evidence_quote_15w,evidence_excerpt,confidence,qa_reasons
CN008-I003,CN008,CATL,CATL,Renewables & Clean Tech,not stated,2024,S,training_education,BG,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Training Education initiative (BG),label_fallback,"During the reporting period, the Company initiated programs with 16 colleges, including Fuzhou Polytechnic and Ningde Vocational and Technical College and successfully concluded projects under the Employment and Education Initiative of Ministry of Education.",16,yes,not stated,not stated,Ministry of Education,CATL 2024.pdf,59,59,"During the reporting period, the Company initiated programs with 16 colleges, including Fuzhou Polytechnic and","During the reporting period, the Company initiated programs with 16 colleges, including Fuzhou Polytechnic and Ningde Vocational and Technical College and successfully concluded projects under the Employment and Education Initiative of Ministry of Education.",High,OK
CN011-I002,CN011,China Development Bank Financial Leasing,China Development Bank Financial Leasing,Financial Services,state-owned,2024,S,community_development,BG,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,Community Development initiative (BG),label_fallback,"In March 2024, the Group collaborated with the Nanshan District Disabled Persons’ Federation and Huafu Subdistrict to organize the “Light Up Blue • Walk with Love” International Autism Public Welfare Activity.",2024,yes,not stated,not stated,International Autism Public Welfare Activity,China Development Bank Financial Leasing.pdf,53,53,"In March 2024, the Group collaborated with the Nanshan District Disabled Persons’ Federation and Huafu","In March 2024, the Group collaborated with the Nanshan District Disabled Persons’ Federation and Huafu Subdistrict to organize the “Light Up Blue • Walk with Love” International Autism Public Welfare Activity.",High,OK
CN011-I003,CN011,China Development Bank Financial Leasing,China Development Bank Financial Leasing,Financial Services,state-owned,2024,E,emissions_reduction,BG,A) Government mandate / compliance-driven,i) regulation/government policy,"The amount of greenhouse gases was presented in carbon dioxide equivalent, and",first_sentence,"The amount of greenhouse gases was presented in carbon dioxide equivalent, and GHG emissions (Scope 1 and Scope 2) in 2024 were calculated based on the Guidelines for Calculation Method and Reporting Guidance on Greenhouse Gas Emissions for On-road Transportation Enterprises (Trial) and the Calculation Method and Reporting Guidance on Greenhouse Gas Emissions by Other Industrial Enterprises (Trial) issued by the National Development and Reform Commission of the PRC, the average emission factor of the national grid of 2022 provided in the Announcement on Issuing the 2022 Electricity CO2 Emission Factor issued by the Ministry of Ecology and Environment of the People’s Republic of China and any other related documents.","1, 2, 2024, 2022, 2022",yes,Scope 1; Scope 2; GHG emissions,national,Ministry of Ecology and Environment of the People,China Development Bank Financial Leasing.pdf,71,71,"The amount of greenhouse gases was presented in carbon dioxide equivalent, and GHG emissions (Scope","The amount of greenhouse gases was presented in carbon dioxide equivalent, and GHG emissions (Scope 1 and Scope 2) in 2024 were calculated based on the Guidelines for Calculation Method and Reporting Guidance on Greenhouse Gas Emissions for On-road Transportation Enterprises (Trial) and the Calculation Method and Reporting Guidance on Greenhouse Gas Emissions by Other Industrial Enterprises (Trial",High,OK
CN014-I001,CN014,China Shenhua Energy,China Shenhua Energy,Energy & Utilities,state-owned,2024,E,emissions_reduction,BG,A) Government mandate / compliance-driven,i) regulation/government policy,the Company carried out accounting of 100% greenhouse gas emissions in China,first_sentence,"In 2024, the Company carried out accounting of 100% greenhouse gas emissions in China within our financial control in accordance with the reporting standards or technical specifications under the Corporate Greenhouse Gas Emission Accounting Methods and Reporting Guidelines – Power Generation Facilities released by the Ministry of Ecology and Environment.","2024, 100",yes,GHG emissions,national,Ministry of Ecology and Environment,China Shenhua Energy 2024.pdf,46,46,"In 2024, the Company carried out accounting of 100% greenhouse gas emissions in China within","In 2024, the Company carried out accounting of 100% greenhouse gas emissions in China within our financial control in accordance with the reporting standards or technical specifications under the Corporate Greenhouse Gas Emission Accounting Methods and Reporting Guidelines – Power Generation Facilities released by the Ministry of Ecology and Environment.",High,OK
CN014-I002,CN014,China Shenhua Energy,China Shenhua Energy,Energy & Utilities,state-owned,2024,E,biodiversity_ecosystems,BG,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Biodiversity Ecosystems initiative (BG),label_fallback,"In line with the United Nations Convention on Biological Diversity and the China Biodiversity Conservation Strategy and Action Plan (2023-2030) issued by the Ministry of Ecology and Environment, we have firmly established the concept of ecological civilisation of respecting, adapting to and protecting nature.","2023, 2030",yes,not stated,national,Ministry of Ecology and Environment,China Shenhua Energy 2024.pdf,55,55,In line with the United Nations Convention on Biological Diversity and the China Biodiversity Conservation,"In line with the United Nations Convention on Biological Diversity and the China Biodiversity Conservation Strategy and Action Plan (2023-2030) issued by the Ministry of Ecology and Environment, we have firmly established the concept of ecological civilisation of respecting, adapting to and protecting nature.",High,OK
CN014-I003,CN014,China Shenhua Energy,China Shenhua Energy,Energy & Utilities,state-owned,2024,X,innovation_green_tech,BG,D) Business-led voluntary collaboration (partners/NGOs/community),"v) operational efficiency/resource value (e.g., waste as asset)",Innovation Green Tech initiative (BG),label_fallback,"/ 2024 Environmental, Social and Governance Report 68 The black sheep trading centre in Butuo County, built with the Company’s assistance The black sheep, a unique and high-quality breed native to Butuo County, Sichuan Province, has received national geographical indication product certification and was honoured as one of the “ Top Ten Livestock and Poultry Breeds with Exceptional Genetic Resources” by the Ministry of Agriculture and Rural Affairs in 2022.","2024, 68, 2022",yes,not stated,not stated,Ministry of Agriculture and Rural Affairs in,China Shenhua Energy 2024.pdf,71,71,"/ 2024 Environmental, Social and Governance Report 68 The black sheep trading centre in Butuo","/ 2024 Environmental, Social and Governance Report 68 The black sheep trading centre in Butuo County, built with the Company’s assistance The black sheep, a unique and high-quality breed native to Butuo County, Sichuan Province, has received national geographical indication product certification and was honoured as one of the “ Top Ten Livestock and Poultry Breeds with Exceptional Genetic Resource",High,OK
CN015-I002,CN015,China State Construction,China State Construction,Construction & Infrastructure,state-owned,2024,S,training_education,BS,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,"To build a robust talent pipeline for rural revitalization, we have organized",first_sentence,"To build a robust talent pipeline for rural revitalization, we have organized two rural revitalization training classes in collaboration with Tsinghua University and conducted another 31 training classes for grassroots officials and technical personnel.",31,yes,not stated,not stated,Tsinghua University,China State Construction 2024.pdf,75,75,"To build a robust talent pipeline for rural revitalization, we have organized two rural revitalization","To build a robust talent pipeline for rural revitalization, we have organized two rural revitalization training classes in collaboration with Tsinghua University and conducted another 31 training classes for grassroots officials and technical personnel.",High,OK
CN017-I001,CN017,CHINT Group,CHINT Group,Renewables & Clean Tech,not stated,2024,S,community_development,BN,E) Society pressure / stakeholder demand-driven,iii) stakeholder/community demand,Sino-Africa Corporate Community Action Network on Sustainable Development,quoted_name,"On 26 April 2024, the UN Global Compact organization held the launching ceremony of the ""Sino-Africa Corporate Community Action Network on Sustainable Development"" in Beijing.","26, 2024",yes,not stated,Beijing,UN Global Compact organization held the launching ceremony of th,CHINT Group 2024.pdf,10,10,"On 26 April 2024, the UN Global Compact organization held the launching ceremony of the","On 26 April 2024, the UN Global Compact organization held the launching ceremony of the ""Sino-Africa Corporate Community Action Network on Sustainable Development"" in Beijing.",High,OK
CN020-I001,CN020,CNGR,CNGR,Renewables & Clean Tech,not stated,2024,E,biodiversity_ecosystems,BN,A) Government mandate / compliance-driven,i) regulation/government policy,"Strategy In 2024, CNGR developed its Biodiversity and Land Use Policy based",first_sentence,"Strategy In 2024, CNGR developed its Biodiversity and Land Use Policy based on the requirements and goals of the Kunming-Montreal Global Biodiversity Framework, while also adhering to the principles of the UN Convention on Biological Diversity, the UN Convention to Combat Desertification, and the Task force on Nature-related Financial Disclosures (TNFD) framework.",2024,yes,not stated,not stated,UN Convention on Biological Diversity; UN Convention to Combat Desertification,CNGR 2024.pdf,65,65,"Strategy In 2024, CNGR developed its Biodiversity and Land Use Policy based on the requirements","Strategy In 2024, CNGR developed its Biodiversity and Land Use Policy based on the requirements and goals of the Kunming-Montreal Global Biodiversity Framework, while also adhering to the principles of the UN Convention on Biological Diversity, the UN Convention to Combat Desertification, and the Task force on Nature-related Financial Disclosures (TNFD) framework.",High,OK
CN021-I001,CN021,COSCO Shipping,COSCO Shipping,Transportation & Logistics,state-owned,2024,E,emissions_reduction,BG,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,Emissions Reduction initiative (BG),label_fallback,"The Company's scenario analysis adopts the Representative Concentration Pathways (RCP) RCP2.6 and RCP4.5 developed by the Intergovernmental Panel on Climate Change (IPCC), as well as the Stated Policies Scenario (STEPS) and the Net Zero Emissions by 2050 Scenario (NZE) simulated by the International Energy Agency (IEA).","6, 5, 2050",yes,not stated,not stated,International Energy Agency,COSCO Shipping 2024.pdf,27,27,The Company's scenario analysis adopts the Representative Concentration Pathways (RCP) RCP2.6 and RCP4.5 developed by,"The Company's scenario analysis adopts the Representative Concentration Pathways (RCP) RCP2.6 and RCP4.5 developed by the Intergovernmental Panel on Climate Change (IPCC), as well as the Stated Policies Scenario (STEPS) and the Net Zero Emissions by 2050 Scenario (NZE) simulated by the International Energy Agency (IEA).",High,OK
CN022-I002,CN022,CRRC,CRRC,Other / Not classified,state-owned,2024,X,innovation_green_tech,BN,A) Government mandate / compliance-driven,i) regulation/government policy,It has developed the Measures for the Management of the National High-,first_sentence,"It has developed the Measures for the Management of the National High- Speed Train Technology Innovation Center (Trial) to promote collaborative construction of the National High-Speed Train Technology Innovation Center, and jointly funded with the National Natural Science Foundation of China to establish a joint innovation and development fund for enterprises in the fields of rail transportation equipment and clean energy equipment, with 26 guidelines released in the first phase.",26,yes,not stated,national,National Natural Science Foundation,CRRC 2024.pdf,37,37,It has developed the Measures for the Management of the National High- Speed Train Technology,"It has developed the Measures for the Management of the National High- Speed Train Technology Innovation Center (Trial) to promote collaborative construction of the National High-Speed Train Technology Innovation Center, and jointly funded with the National Natural Science Foundation of China to establish a joint innovation and development fund for enterprises in the fields of rail transportation",High,OK
CN023-I007,CN023,CYPC,Stock code: 600900.SH,Other / Not classified,not stated,2023,S,diversity_inclusion,BN,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,Diversity Inclusion initiative (BN),label_fallback,"Moreover, the company has also held fun sports games, networking events for youth staff, and themed activities around International Women’s Day in different regions, so as to enrich employees’ cultural and sports lives.",Not stated / Not found,no,not stated,not stated,International Women,CYPC 2023.pdf,38,38,"Moreover, the company has also held fun sports games, networking events for youth staff, and","Moreover, the company has also held fun sports games, networking events for youth staff, and themed activities around International Women’s Day in different regions, so as to enrich employees’ cultural and sports lives.",High,OK
CN024-I001,CN024,ENN Natural Gas Co,ENN Natural Gas Co,Energy & Utilities,not stated,2024,E,emissions_reduction,BN,A) Government mandate / compliance-driven,i) regulation/government policy,Emissions Reduction initiative (BN),label_fallback,"2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development Green Development: Co-Creating an Intelligent Low-Carbon Framework Self-driven Altruism: Creating a Diverse and Harmonious Ecosystem Excellent Governance: Achieving Long-Term Value Creation Compliance Management Mechanism To enhance the effectiveness of corporate governance, we have established a compliance leading group, which comprehensively coordinates compliance affairs and actively accepts the supervision of the supervisory and audit departments.",2024,yes,not stated,not stated,Laying the Foundation,ENN Natural Gas Co 2024.pdf,13,13,"2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development","2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development Green Development: Co-Creating an Intelligent Low-Carbon Framework Self-driven Altruism: Creating a Diverse and Harmonious Ecosystem Excellent Governance: Achieving Long-Term Value Creation Compliance Management Mechanism To enhance the effectiveness of corporate governance, we have es",High,OK
CN024-I002,CN024,ENN Natural Gas Co,ENN Natural Gas Co,Energy & Utilities,not stated,2024,E,emissions_reduction,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Emissions Reduction initiative (BN),label_fallback,"2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development Green Development: Co-Creating an Intelligent Low-Carbon Framework Self-driven Altruism: Creating a Diverse and Harmonious Ecosystem Excellent Governance: Achieving Long-Term Value Creation ENN-NG has established a comprehensive governance framework for business ethics.",2024,yes,not stated,not stated,Laying the Foundation,ENN Natural Gas Co 2024.pdf,19,19,"2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development","2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development Green Development: Co-Creating an Intelligent Low-Carbon Framework Self-driven Altruism: Creating a Diverse and Harmonious Ecosystem Excellent Governance: Achieving Long-Term Value Creation ENN-NG has established a comprehensive governance framework for business ethics.",High,OK
CN024-I003,CN024,ENN Natural Gas Co,ENN Natural Gas Co,Energy & Utilities,not stated,2024,E,emissions_reduction,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Emissions Reduction initiative (BN),label_fallback,"2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development Green Development: Co-Creating an Intelligent Low-Carbon Framework Self-driven Altruism: Creating a Diverse and Harmonious Ecosystem Excellent Governance: Achieving Long-Term Value Creation Code of Conduct Agreement Data of ENN-NG Anti-Corruption Training Data of ENN-NG Whistle-blowing Mechanism We have established a whistle-blowing and consulting service center, with complaint channels such as telephone, email, WeChat, website and the Sunshine Publicity Board open 24 hours a day.","2024, 24",yes,anti-corruption training,not stated,Laying the Foundation,ENN Natural Gas Co 2024.pdf,20,20,"2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development","2024 Environmental, Social and Governance Report Safe Energy Supply: Laying the Foundation for Social Development Green Development: Co-Creating an Intelligent Low-Carbon Framework Self-driven Altruism: Creating a Diverse and Harmonious Ecosystem Excellent Governance: Achieving Long-Term Value Creation Code of Conduct Agreement Data of ENN-NG Anti-Corruption Training Data of ENN-NG Whistle-blowing",High,OK
CN024-I004,CN024,ENN Natural Gas Co,ENN Natural Gas Co,Energy & Utilities,not stated,2024,S,labor_rights,BN,A) Government mandate / compliance-driven,i) regulation/government policy,Labor Rights initiative (BN),label_fallback,"2024 Environmental, Social and Governance Report Report on Progress of Following the UN Global Compact Principles The UN Global Compact is a strategic policy initiative for cooperation between public sectors and businesses, designed to aid companies in aligning their operation and strategies with the ten widely accepted principles in the areas of human rights, labor, environment and anti-corruption.",2024,yes,not stated,not stated,UN Global Compact Principles The UN Global Compact is a strategi,ENN Natural Gas Co 2024.pdf,63,63,"2024 Environmental, Social and Governance Report Report on Progress of Following the UN Global Compact","2024 Environmental, Social and Governance Report Report on Progress of Following the UN Global Compact Principles The UN Global Compact is a strategic policy initiative for cooperation between public sectors and businesses, designed to aid companies in aligning their operation and strategies with the ten widely accepted principles in the areas of human rights, labor, environment and anti-corruptio",High,OK
CN025-I001,CN025,Esquel,1 ESQUEL,Consumer Goods,not stated,2024,S,training_education,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,we partnered with the Xinjiang Dilinar Cultural and Art Exchange Development Foundation,first_sentence,"In 2024, we partnered with the Xinjiang Dilinar Cultural and Art Exchange Development Foundation and Beijing Zhongyi Art Foundation to amplify arts education and cultural exchange in Xinjiang.",2024,yes,not stated,Beijing,Beijing Zhongyi Art Foundation; Xinjiang Dilinar Cultural and Art Exchange Development Foundation,Esquel 2024.pdf,48,48,"In 2024, we partnered with the Xinjiang Dilinar Cultural and Art Exchange Development Foundation and","In 2024, we partnered with the Xinjiang Dilinar Cultural and Art Exchange Development Foundation and Beijing Zhongyi Art Foundation to amplify arts education and cultural exchange in Xinjiang.",High,OK
CN025-I003,CN025,Esquel,1 ESQUEL,Consumer Goods,not stated,2024,S,training_education,BN,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,Training Education initiative (BN),label_fallback,"52 Pioneering Sustainable Well-being Sustainability Tours at Integral In collaboration with the YL Yang Foundation, Integral has hosted a series of sustainability tours designed to foster environmental awareness and education.",52,yes,not stated,not stated,Well-being Sustainability Tours at Integral In collaboration with the YL Yang Foundation,Esquel 2024.pdf,52,52,"52 Pioneering Sustainable Well-being Sustainability Tours at Integral In collaboration with the YL Yang Foundation,","52 Pioneering Sustainable Well-being Sustainability Tours at Integral In collaboration with the YL Yang Foundation, Integral has hosted a series of sustainability tours designed to foster environmental awareness and education.",High,OK
CN026-I004,CN026,Fosun,Fosun,Transportation & Logistics,not stated,2024,X,SDG_alignment,BN,F) International exposure / investor / supply-chain requirement-driven,vi) reputational/international markets,Sdg Alignment initiative (BN),label_fallback,"Other matters requiring attention International Organization Initiative Having joined the UN Global Compact in August 2014, the Company strives to make our investment strategies in line with the Sustainable Development Goals.",2014,yes,not stated,not stated,International Organization Initiative Having joined the UN Global Compact in August; UN Global Compact in August,Fosun 2024.pdf,50,50,Other matters requiring attention International Organization Initiative Having joined the UN Global Compact in August,"Other matters requiring attention International Organization Initiative Having joined the UN Global Compact in August 2014, the Company strives to make our investment strategies in line with the Sustainable Development Goals.",High,OK
